PV1MATH,CNTSCHID,CNTSTUID,PAREDINT,HOMEPOS,HISEI,GRADE,ST004D01T,IMMIG,MATHEFF,ANXMAT,REPEAT,ST062Q01TA,DISCLIM,STUBEHA,STAFFSHORT,EDUSHORT,PROATCE,TEACHSUP,SCHLTYPE,ST059Q01TA,SC175Q01JA,ESCS
549.176,75600154.0,75600002.0,14.5,0.2982,28.48,0.0,Male,Native student,0.2141,-1.1715,Repeated at lease once,Never,0.7652,,,,,0.1475,Public,7.0,,-0.2977
600.101,75600247.0,75600003.0,12.0,-1.0015,30.34,1.0,Male,Second-Generation student,0.9211,-0.2758,Never repeated,Never,0.6318,0.2498,-0.5635,-0.9432,,-0.1002,Public,4.0,45.0,-1.2361
624.078,75600054.0,75600004.0,14.5,0.9925,43.85,2.0,Female,Second-Generation student,-0.3312,0.6647,Never repeated,One or two times,-0.6497,-2.0719,-0.9675,-0.949,0.9065,0.8211,Private independent,5.0,45.0,0.2866
454.898,75600014.0,75600005.0,16.0,0.1823,70.89,0.0,Female,Native student,-1.5783,0.3729,Never repeated,Never,0.1201,-0.5078,1.4261,-0.6483,0.9767,-0.8059,Public,5.0,45.0,0.7078
351.327,75600156.0,75600006.0,12.0,-0.8671,26.8,0.0,Female,First-Generation student,,,Repeated at lease once,Never,,0.1795,0.2841,-1.4212,0.8913,,Public,4.0,45.0,-1.2461
527.518,75600104.0,75600007.0,9.0,-1.3766,22.77,0.0,Female,Second-Generation student,0.164,-0.3794,Never repeated,Never,1.1487,-0.335,0.7007,-0.3123,0.7609,0.4357,Public,5.0,45.0,-2.0456
396.939,75600113.0,75600009.0,6.0,-0.9812,16.5,-1.0,Female,First-Generation student,1.0061,1.2587,Repeated at lease once,Never,-0.808,,,,,1.5558,Public,5.0,,-2.5043
419.68,75600024.0,75600010.0,,-0.2868,25.94,0.0,Male,First-Generation student,-0.628,-0.2045,Never repeated,Never,-0.1254,,,,,1.5558,Public,4.0,,-0.4844
533.146,75600165.0,75600011.0,14.5,0.1099,55.03,0.0,Male,Native student,-0.1612,-2.382,Never repeated,Never,1.6706,0.2408,-2.1066,-1.4212,1.0,0.8211,Public,4.0,45.0,0.1238
366.963,75600089.0,75600013.0,14.5,0.7976,71.39,0.0,Female,Native student,,,Never repeated,Never,,-1.4335,-0.5393,-1.4212,0.4889,,Private independent,,120.0,0.724
350.886,75600149.0,75600014.0,16.0,-0.0064,22.77,1.0,Male,Second-Generation student,-0.6602,0.3401,Never repeated,Never,-0.808,0.4215,-1.1673,0.8339,0.6216,0.4357,Public,0.0,45.0,-0.2806
450.025,75600058.0,75600015.0,16.0,0.4985,50.37,0.0,Female,First-Generation student,-0.4837,-0.2885,Never repeated,Never,0.1166,0.4781,0.4622,0.2681,0.8065,-0.3322,Public,5.0,45.0,0.4543
526.228,75600113.0,75600016.0,14.5,1.0214,28.48,0.0,Male,Native student,,,Never repeated,Never,-1.169,,,,,,Public,,,0.0086
390.845,75600076.0,75600017.0,16.0,-1.4837,,0.0,Female,Second-Generation student,-3.3962,1.8354,Never repeated,One or two times,-2.4227,0.2408,-2.1066,0.4292,1.0,-2.9095,Public,5.0,45.0,-0.768
442.164,75600163.0,75600018.0,16.0,-0.6734,75.13,0.0,Female,Second-Generation student,-0.3848,-0.5191,Repeated at lease once,Never,-0.6761,-0.335,-1.1673,-1.4212,,-1.0693,Public,5.0,45.0,0.4255
592.336,75600121.0,75600019.0,14.5,-0.1193,21.82,0.0,Male,Native student,,,Never repeated,Never,-0.7263,-0.3856,-2.1066,-1.4212,,-1.3627,Public,4.0,45.0,-0.6003
354.756,75600069.0,75600020.0,16.0,-1.511,,-1.0,Male,Second-Generation student,0.0711,0.8918,Repeated at lease once,Never,,0.6935,-2.1066,-1.4212,0.9552,,Public,0.0,45.0,-0.8395
442.489,75600061.0,75600021.0,14.5,-0.2892,,0.0,Male,Native student,,,,Never,1.6526,-1.6103,0.0878,-1.4212,1.0,-0.1002,Public,6.0,45.0,0.6686
575.031,75600167.0,75600022.0,16.0,0.7059,26.64,1.0,Female,Native student,-0.3738,0.6647,Never repeated,Never,-0.808,0.1945,-0.2766,-1.4212,1.0,0.4357,Public,2.0,90.0,0.0941
585.591,75600127.0,75600023.0,16.0,2.315,57.13,0.0,Female,Native student,0.4358,,Never repeated,Never,-0.0724,,,,,-0.1002,Public,5.0,,1.3513
741.108,75600026.0,75600025.0,16.0,0.6957,17.0,1.0,Male,Native student,0.3747,-0.755,Never repeated,Never,0.4967,0.6482,0.0276,-1.4212,0.0,-0.1002,Public,4.0,45.0,-0.0923
580.688,75600208.0,75600026.0,16.0,0.0058,79.05,1.0,Female,Native student,-1.1131,0.8251,Never repeated,One or two times,-1.0233,0.2913,-1.1673,-0.6924,0.0,-0.3322,Public,4.0,45.0,0.7872
376.282,75600081.0,75600027.0,14.5,-0.6274,25.04,0.0,Male,First-Generation student,-1.1198,-0.5191,Never repeated,Never,0.123,,,,,-1.7015,Public,5.0,,-0.7547
381.352,75600196.0,75600029.0,14.5,0.0424,24.53,0.0,Female,Native student,-0.8302,-0.1371,Repeated at lease once,Never,0.7487,-0.0384,0.8939,-1.4212,0.7895,0.4357,Public,6.0,45.0,-0.4806
549.394,75600184.0,75600031.0,16.0,0.7233,81.13,1.0,Male,Second-Generation student,2.1958,1.5706,Never repeated,Never,0.1777,0.1795,-0.2766,0.4727,0.8,1.5558,Public,3.0,45.0,1.1303
532.351,75600069.0,75600032.0,16.0,0.8491,28.48,0.0,Male,Native student,-0.0961,,Never repeated,Never,1.0086,0.6935,-2.1066,-1.4212,0.9552,-0.1002,Public,5.0,45.0,0.1895
386.663,75600105.0,75600033.0,16.0,-0.523,26.85,1.0,Male,Second-Generation student,-0.2619,-0.9755,Never repeated,Never,0.793,-1.1401,-0.9311,-0.6884,0.9167,-0.3322,Public,4.0,40.0,-0.4224
453.966,75600077.0,75600034.0,12.0,-0.1416,,0.0,Female,,,,Repeated at lease once,Never,,,,,,,Public,,,-0.3457
571.537,75600091.0,75600035.0,,,,1.0,Female,,,,,,,0.4781,-2.1066,-1.4212,1.0,,Public,,45.0,
593.52,75600185.0,75600036.0,14.5,0.8606,75.13,1.0,Female,Native student,-0.216,1.0112,Never repeated,Never,-0.4914,0.0321,-0.5393,-0.2376,0.9137,0.1475,Public,5.0,45.0,0.8213
448.795,75600051.0,75600037.0,12.0,0.4945,57.03,0.0,Female,Native student,-0.175,0.6647,Never repeated,Never,0.757,-1.0283,0.4622,-0.4839,0.1509,0.4357,Public,6.0,50.0,-0.0986
354.675,75600083.0,75600039.0,12.0,-0.5367,22.57,0.0,Female,Second-Generation student,-0.149,-0.508,Repeated at lease once,Never,-2.4793,-0.1692,0.2841,0.2681,0.9398,0.8211,Public,5.0,50.0,-1.186
547.155,75600109.0,75600041.0,12.0,-0.042,57.13,1.0,Female,Native student,-0.6731,-0.1341,Never repeated,Never,0.3658,,,,,-0.3322,Public,6.0,,-0.3239
545.971,75600115.0,75600043.0,16.0,1.9626,79.05,1.0,Female,Native student,-0.0208,,Never repeated,Never,-0.5532,1.5517,1.4261,1.6863,1.0,-0.3322,Public,5.0,45.0,1.6159
406.931,75600220.0,75600044.0,9.0,0.5013,37.83,0.0,Female,Native student,-1.0801,1.1606,Never repeated,Never,0.2002,0.1064,0.299,-0.9432,0.7727,-1.3627,Public,5.0,45.0,-0.9659
390.688,75600071.0,75600045.0,16.0,1.5167,50.9,0.0,Female,Second-Generation student,-3.4478,-1.6826,Never repeated,,-0.0903,,,,,-0.5635,Public,4.0,,0.8955
401.628,75600210.0,75600046.0,14.5,-1.5262,16.5,0.0,Female,First-Generation student,-0.9368,0.4067,Never repeated,Never,0.3884,-1.4545,0.7007,-1.4212,0.7931,-1.3627,Public,5.0,45.0,-1.2966
